metal,oxidation_state,x,formula,delta_G_min,delta_G_norm_min,alpha_opt,beta_opt,gamma_opt,nu_LPSC_doped,nu_H2O,nu_LiCl,nu_LiF,nu_Li3PO4,nu_H2S,nu_LiOH,nu_MCl_n,nu_MF_n,nu_MOH_n,nu_MO_n_over_2,mu_LPSC_doped,mu_H2O,mu_LiCl,mu_LiF,mu_Li3PO4,mu_H2S,mu_LiOH,mu_MCl_n,mu_MF_n,mu_MOH_n,mu_MO_n_over_2,contrib_LPSC_doped,contrib_H2O,contrib_LiCl,contrib_LiF,contrib_Li3PO4,contrib_H2S,contrib_LiOH,contrib_MCl_n,contrib_MF_n,contrib_MOH_n,contrib_MO_n_over_2
Ac,3,0.01,Li602AcP99S500Cl97F3,-6.558690961,-1.085875987,-0.03,0,0,-1,-6.04,0.97,0,0.99,5,2.08,0,0.01,0,0,-18.4254321,-2.546814899,-4.005635262,-6.288835526,-21.9933548,-0.703408086,-5.293634892,-10.68239021,-18.01965904,-14.63361597,-9.534380436,18.4254321,15.38276199,-3.885466204,0,-21.77342125,-3.517040429,-11.01076057,0,-0.18019659,0,0
Ac,3,0.02,Li302AcP49S250Cl47F3,-6.621485643,-1.089060139,-0.06,0,0,-1,-6.08,0.94,0,0.98,5,2.16,0,0.02,0,0,-18.52434959,-2.546814899,-4.005635262,-6.288835526,-21.9933548,-0.703408086,-5.293634892,-10.68239021,-18.01965904,-14.63361597,-9.534380436,18.52434959,15.48463459,-3.765297146,0,-21.5534877,-3.517040429,-11.43425137,0,-0.360393181,0,0
Ac,3,0.03,Li606Ac3P97S500Cl91F9,-6.685815198,-1.092453464,-0.09,0,0,-1,-6.12,0.91,0,0.97,5,2.24,0,0.03,0,0,-18.62173222,-2.546814899,-4.005635262,-6.288835526,-21.9933548,-0.703408086,-5.293634892,-10.68239021,-18.01965904,-14.63361597,-9.534380436,18.62173222,15.58650718,-3.645128088,0,-21.33355415,-3.517040429,-11.85774216,0,-0.540589771,0,0
Ac,3,0.04,Li152AcP24S125Cl22F3,-6.751274472,-1.095986116,-0.12,0,0,-1,-6.16,0.88,0,0.96,5,2.32,0,0.04,0,0,-18.71798512,-2.546814899,-4.005635262,-6.288835526,-21.9933548,-0.703408086,-5.293634892,-10.68239021,-18.01965904,-14.63361597,-9.534380436,18.71798512,15.68837978,-3.52495903,0,-21.11362061,-3.517040429,-12.28123295,0,-0.720786362,0,0
Ac,3,0.05,Li122AcP19S100Cl17F3,-6.816665589,-1.099462192,-0.15,0,0,-1,-6.2,0.85,0,0.95,5,2.4,-6.94E-18,0.05,0,6.94E-18,-18.81430619,-2.546814899,-4.005635262,-6.288835526,-21.9933548,-0.703408086,-5.293634892,-10.68239021,-18.01965904,-14.63361597,-9.534380436,18.81430619,15.79025237,-3.404789972,0,-20.89368706,-3.517040429,-12.70472374,7.41E-17,-0.900982952,0,-6.62E-17
Ac,3,0.06,Li306Ac3P47S250Cl41F9,-6.880849011,-1.102700162,-0.18,0,0,-1,-6.24,0.82,0,0.94,5,2.48,0,0.06,0,0,-18.91183495,-2.546814899,-4.005635262,-6.288835526,-21.9933548,-0.703408086,-5.293634892,-10.68239021,-18.01965904,-14.63361597,-9.534380436,18.91183495,15.89212497,-3.284620914,0,-20.67375351,-3.517040429,-13.12821453,0,-1.081179543,0,0
Ac,3,0.07,Li614Ac7P93S500Cl79F21,-6.943032256,-1.105578385,-0.21,0,0,-1,-6.28,0.79,0,0.93,5,2.56,-1.39E-17,0.07,0,1.39E-17,-19.01136388,-2.546814899,-4.005635262,-6.288835526,-21.9933548,-0.703408086,-5.293634892,-10.68239021,-18.01965904,-14.63361597,-9.534380436,19.01136388,15.99399757,-3.164451857,0,-20.45381996,-3.517040429,-13.55170532,1.48E-16,-1.261376133,0,-1.32E-16
Ac,3,0.08,Li154Ac2P23S125Cl19F6,-7.002709841,-1.108023709,-0.24,0,0,-1,-6.32,0.76,0,0.92,5,2.64,0,0.08,0,0,-19.11339848,-2.546814899,-4.005635262,-6.288835526,-21.9933548,-0.703408086,-5.293634892,-10.68239021,-18.01965904,-14.63361597,-9.534380436,19.11339848,16.09587016,-3.044282799,0,-20.23388641,-3.517040429,-13.97519611,0,-1.441572723,0,0
Ac,3,0.09,Li618Ac9P91S500Cl73F27,-7.059575941,-1.109996217,-0.27,0,0,-1,-6.36,0.73,0,0.91,5,2.72,1.39E-17,0.09,0,-1.39E-17,-19.21824455,-2.546814899,-4.005635262,-6.288835526,-21.9933548,-0.703408086,-5.293634892,-10.68239021,-18.01965904,-14.63361597,-9.534380436,19.21824455,16.19774276,-2.924113741,0,-20.01395287,-3.517040429,-14.3986869,-1.48E-16,-1.621769314,0,1.32E-16
Ac,3,0.1,Li62AcP9S50Cl7F3,-7.1136408,-1.111506375,-0.3,0,0,-1,-6.4,0.7,0,0.9,5,2.8,-1.39E-17,0.1,0,1.39E-17,-19.32589188,-2.546814899,-4.005635262,-6.288835526,-21.9933548,-0.703408086,-5.293634892,-10.68239021,-18.01965904,-14.63361597,-9.534380436,19.32589188,16.29961535,-2.803944683,0,-19.79401932,-3.517040429,-14.8221777,1.48E-16,-1.801965904,0,-1.32E-16
