material_id,formula,formation_energy,e_above_hull,comp_group,elements_set,elements,fractions,element_indices
mp-694541,FePO4,-2.297583960357143,0.054001999999999,Fe:0.15|O:0.65|P:0.15,"{'Fe', 'O', 'P'}","Fe,O,P","0.16666667,0.66666667,0.16666667","35,73,76"
mp-1246349,MgVCr3S8,-1.115814630384614,0.021296330500001,Cr:0.25|Mg:0.10|S:0.60|V:0.10,"{'Mg', 'Cr', 'V', 'S'}","Cr,Mg,S,V","0.23076923,0.07692308,0.61538462,0.07692308","25,60,93,112"
mp-762052,Na2Ga11O17,-2.195642346508621,0.034193098083327,Ga:0.35|Na:0.05|O:0.55,"{'Na', 'O', 'Ga'}","Ga,Na,O","0.36666667,0.06666667,0.56666667","39,65,73"
mp-1247909,Ba10Pr5Sn2(SbO10)3,-2.916594065,0.024828824,Ba:0.35|O:0.35|Pr:0.20|Sb:0.05|Sn:0.05,"{'O', 'Pr', 'Sb', 'Sn', 'Ba'}","Ba,O,Pr,Sb,Sn","0.35714286,0.35714286,0.17857143,0.03571429,0.07142857","10,73,82,94,100"
mp-1224524,Hf(Ti2Se5)2,-1.458910456451386,0.014166815333331,Hf:0.10|Se:0.60|Ti:0.25,"{'Se', 'Hf', 'Ti'}","Hf,Se,Ti","0.12500000,0.62500000,0.25000000","44,96,107"
mp-2713995,Na6Ca4Hf4Si3(S3O16)3,-2.67469776246544,0.069685372274777,Ca:0.10|Hf:0.10|Na:0.15|O:0.45|S:0.10|Si:0.10,"{'Na', 'O', 'Hf', 'Si', 'Ca', 'S'}","Ca,Hf,Na,O,S,Si","0.11111111,0.11111111,0.16666667,0.44444444,0.08333333,0.08333333","17,44,65,73,93,98"
mp-774793,LiLa8Cu3O16,-3.067286839761905,0.050887001517831,Cu:0.10|La:0.30|Li:0.05|O:0.55,"{'Cu', 'O', 'La', 'Li'}","Cu,La,Li,O","0.10714286,0.28571429,0.03571429,0.57142857","27,53,54,73"
mp-1208225,TiBi6(PO8)2,-2.252744042104763,0.001049581800002,Bi:0.40|O:0.50|P:0.05|Ti:0.05,"{'Ti', 'O', 'P', 'Bi'}","Bi,O,P,Ti","0.37500000,0.50000000,0.06250000,0.06250000","13,73,76,107"
mp-555494,NaTbMnWO6,-2.6879429475977,0.0,Mn:0.10|Na:0.10|O:0.60|Tb:0.10|W:0.10,"{'Na', 'O', 'Tb', 'W', 'Mn'}","Mn,Na,O,Tb,W","0.10000000,0.10000000,0.60000000,0.10000000,0.10000000","61,65,73,103,113"
mp-27263,Rb2MnBr4,-1.662182246133004,0.017002531309525,Br:0.55|Mn:0.15|Rb:0.30,"{'Mn', 'Rb', 'Br'}","Br,Mn,Rb","0.57142857,0.14285714,0.28571429","15,61,86"
mp-559208,SrTiSi2O7,-3.395760443939394,0.017766169924243,O:0.65|Si:0.20|Sr:0.10|Ti:0.10,"{'O', 'Ti', 'Si', 'Sr'}","O,Si,Sr,Ti","0.63636364,0.18181818,0.09090909,0.09090909","73,98,101,107"
mp-1101170,YLuO3,-3.962743276333333,0.076084470499997,Lu:0.20|O:0.60|Y:0.20,"{'Y', 'Lu', 'O'}","Lu,O,Y","0.20000000,0.60000000,0.20000000","56,73,115"
